Population,name
12691836,Mumbai
10927986,Delhi
5104047,Bengaluru
4631392,Kolkata
4328063,Chennai
3719710,Ahmedabad
3597816,Hyderabad
2935744,Pune
2894504,Surat
2823249,Kanpur
2711758,Jaipur
2600000,Navi Mumbai
2472011,Lucknow
2228018,Nagpur
1837041,Indore
1599920,Patna
1599914,Bhopal
1545368,Ludhiana
1435844,Tirunelveli
1430055,Agra
1409476,Vadodara
1324570,Gorakhpur
1289497,Nashik
1284606,Pimpri
1262255,Kalyan
1261517,Thane
1223184,Meerut
1220946,Nowrangapur
1220229,Faridabad
1199191,Ghaziabad
1193000,Dombivli
1177362,Rajkot
1164404,Varanasi
1092450,Amritsar
1073438,Allahabad
1063178,Visakhapatnam
1034724,Teni
1030168,Jabalpur
1027672,Haora
1016441,Aurangabad
1000000,Shivaji Nagar
997281,Solapur
975857,Srinagar
960787,Chandigarh
959823,Coimbatore
921476,Jodhpur
909908,Madurai
899094,Guwahati
882458,Gwalior
874587,Vijayawada
868313,Mysore
846454,Ranchi
840214,Hubli
785178,Jalandhar
784153,Thiruvananthapuram
778396,Salem
775484,Tiruchirappalli
763088,Kota
762243,Bhubaneshwar
753207,Aligarh
745435,Bareilly
721139,Moradabad
707035,Bhiwandi
679995,Raipur
674246,Gorakhpur
625138,Bhilai
616338,Jamshedpur
609617,Borivli
604696,Cochin
603837,Amravati
601214,Sangli
580000,Cuttack
576015,Bikaner
557802,Warangal
554978,Bhavnagar
550564,Nanded
536450,Raurkela
530577,Guntur
522081,Dehra Dun
520301,Bhayandar
518872,Durgapur
517911,Ajmer
516584,Ulhasnagar
516142,Kolhapur
515574,Shiliguri
510879,Bilimora
505241,Karol Bagh
504271,Asansol
492056,Jamnagar
484873,Saharanpur
483615,Gulbarga
483129,Bhatpara
465567,Jammu
460184,Kurnool
457346,Ujjain
452261,Ramgundam
441956,Shyamnagar
440894,Nangi
439922,Kozhikode
435362,Malegaon
435128,Davangere
429298,Jalgaon
428857,Akola
428720,Belgaum
423692,Gaya
422784,Udaipur
419146,Korba
418533,Bokaro
417387,Mangalore
412927,Jhansi
410760,Thoothukudi
404158,Nellore
397521,Tiruppur
394163,Kollam
378705,Panihati
367140,Ahmadnagar
366980,Dhulia
361548,Bhagalpur
350000,Punasa
349706,Muzaffarnagar
348967,Latur
341709,Kukatpalli
341049,Ambattur
336681,Bellary
333200,Muzaffarpur
332965,Kamarhati
330511,Mathura
329224,Patiala
328351,Chanda
326431,Bhilwara
325110,Trichur
324726,Brahmapur
320434,Shahjanpur
319550,Shimoga
317797,New Delhi
317245,Rohtak
307359,Tumkur
306409,Firozabad
305438,Nizamabad
305405,Kulti
304804,Rajahmundry
301725,Barddhaman
298127,Barasat
296973,Bali
296436,Hisar
296418,Rampur
293908,Noida
293908,Greater Noida
292923,Kakinada
292808,Panipat
289629,Parbhani
287150,Darbhanga
283228,Alwar
282705,Bilaspur
274383,Ichalkaranji
271064,Bijapur
265331,Aizawl
262034,Jalna
261987,Lal Bahadur Nagar
261218,Dewas
260072,Baranagar
258944,Gajuwaka
257778,Satna
257448,Etawah
255283,Durg
253221,Naihati
250821,Tirupati
250521,Sonipat
250044,Avadi
248059,Tiruvottiyur
247333,Saugor
246050,Mau
244230,Bihar Sharif
242920,Hapur
242800,Bathinda
241152,Farrukhabad
240442,Anantapur
237783,Barasat
236843,Ratlam
235000,Ramagundam
231838,Ganganagar
229384,Bharatpur
228745,Karimnagar
227411,Puducherry
226317,Shrirampur
225962,Raichur
225816,Quthbullapur
225049,Karnal
223676,Arrah
223523,Imphal
222764,Gosaba
220029,Mirzapur
219665,Kharagpur
219636,Dhanbad
219571,Tanjore
217780,Amarnath
213858,Nagercoil
210103,Pali
208931,Yamunanagar
208461,Rewa
204182,Secunderabad
204071,Bidar
203264,Agartala
203163,Monghyr
202695,Burhanpur
202067,Nadiad
201597,Chapra
200797,Dindigul
200000,Panchkula
199932,Sikar
198612,Bulandshahr
198453,Purnia
197846,Hospet
197340,Gurgaon
196109,Sambhal
195985,Gandhinagar
195856,Murwara
194363,Nangloi Jat
192827,Machilipatnam
192555,Katihar
190855,Bhiwani
187942,Kultali
186433,Raebareli
186079,Haridwar
185580,Singrauli
184447,Junagadh
183808,Sujangarh
183387,Ellore
183001,Bhusaval
182841,Khandwa
182218,Bahraigh
181639,Sirsa
180623,Chandannagar
180547,Baharampur
179628,Surendranagar
179358,Vizianagaram
177797,Proddatur
177081,Vellore
177005,Hugli
176783,Alleppey
176253,Amroha
174787,Tambaram
174306,Pathankot
174035,Bhind
173503,Shimla
172872,Ongole
172813,Gadag-Betageri
170841,Puri
170695,Haldia
170503,Khammam
170252,Raiganj
170039,Ingraj Bazar
169572,Jaunpur
166480,Fatehpur
166388,Gandhidham
165337,Nandyal
165000,Udupi
164810,Loni
164435,Sitapur
164215,Shivpuri
163903,Bhadravati
163631,Adoni
163326,Veraval
162887,Sambalpur
162569,Gadag
161671,Unnao
161555,Budaun
161260,Jind
161126,Madhyamgram
160242,Jamuria
158664,Jaigaon
158569,Cuddalore
158265,Orai
158142,Hoshiarpur
157145,Pallavaram
155687,Hanumangarh
155029,Kanchipuram
153775,Alandur
153689,Guna
153613,Bahadurgarh
153528,Bharuch
153349,Medinipur
153047,Fyzabad
152940,Dinapore
152393,Silchar
152218,Banda
152004,Morena
151331,Tonk
150755,Raj-Nandgaon
150525,Serilingampalle
150357,Virar
150000,Malkajgiri
149983,Shantipur
148174,Barakpur
147270,Erode
146787,Ambala
145926,Krishnanagar
145764,Saharsa
145468,Batala
142967,Bhimavaram
141404,Balurghat
140604,Kaithal
140223,Lakhimpur
140063,Hazaribagh
140045,Vidisha
139497,Haldwani
139297,Habra
139264,Kumbakonam
138872,Porbandar
138587,Chitradurga
138279,Thanesar
138243,Tiruvannamalai
138009,Anand
136954,Kanchrapara
136135,Mahbubnagar
135860,Dimapur
135218,Robertsonpet
134847,Chhindwara
134845,Mandya
133966,Bankura
133606,Hajipur
133583,Gonda City
133459,Bhuj
133298,Hindupur
132842,Shillong
132728,Palghat
131913,Godhra
131749,Kishangarh
131261,Raniganj
131008,Pilibhit
130777,Beawar
130603,Abohar
130549,Moga
129938,Dehri
129570,Deoria
128531,Hassan
128346,Khardah
128175,Yavatmal
128172,Halisahar
128046,Panvel
127751,Titagarh
127010,Cuddapah
127008,Bettiah
126882,Hathras
126475,Lalitpur
126441,Kolar
124988,Mandsaur
124897,Gondia
124168,Rajapalaiyam
123797,Darjiling
123484,Mohali
123294,Palanpur
122719,Dam Dam
122635,Hardoi
122533,Puruliya
122155,Dibrugarh
121965,Palwal
121826,Nalgonda
121662,Bhadreswar
121610,Vejalpur
121484,Chikmagalur
121278,Raigarh
120964,Guntakal Junction
120115,Gangapur
120000,Deoli
119181,Siwan
118776,Damoh
118526,Adilabad
118299,Chicacole
118259,Uppal Kalan
118068,Jetpur
118022,Morbi
117863,Patan
117137,Khanna
117053,Botad
117014,Rishra
116644,Azamgarh
116447,Yelahanka
116161,Gudivada
115504,Baidyabati
115115,Basti
114321,Balasore
114050,Dharmavaram
113840,Maler Kotla
113759,Wardha
113193,Jhunjhunun
112793,Satara
112635,Chanduasi
112144,Mothihari
112141,Chas
112118,Pudukkottai
112079,Rewari
112050,Port Blair
111729,Suriapet
111693,Bangaon
111594,Chhatarpur
111475,Ashoknagar Kalyangarh
111278,Achalpur
111123,Navadwip
110983,Barsi
